Pay Period,Facility,Cost Center,Department,Statistic,Target Hours per Statistic,Productive Hours,Actual Statistic,Hours Earned,Hours per UOS, Actual Productive FTEs , Flex Productive FTEs , Flex /Actual Percentage , Actual v Flex Productive FTE Variance , Actual Non-Productive FTEs , Budget Non-Productive FTEs , Actual v Bud Non-Productive FTE Variance , Actual Total FTEs , Premium Pay Percentage , Total Salaries , Budget Cost per UoS , Actual Cost per UoS 
21,10000,1003,Delivery Rooms,Delivery,27.23,"2,062",59,"1,616", 34.74 ,25.77,20.20,78%,-5.57,5.33,4.04,-1.29,31.10,2.21%,"$2,375,447","$30,807","$40,018"
21,10000,1005,Perinatal Testing Center,Test/Procedures ,0.70,324,523,365, 0.62 ,4.05,4.56,113%,0.51,0.20,0.52,0.32,4.25,0.49%,"$320,215",$686,$612
21,10000,1006,Pediatrics,Equivalent Patient Days,18.43,"1,022",56,"1,032", 18.26 ,12.78,12.90,101%,0.12,4.55,2.61,-1.94,17.33,0.00%,"$1,299,638","$23,430","$23,208"
21,10000,1007,Intensive Care Nursery,Equivalent Patient Days,13.12,"1,608",143,"1,881", 11.22 ,20.10,23.51,117%,3.41,4.35,3.42,-0.93,24.45,0.92%,"$1,847,598","$14,962","$12,888"
21,10000,1009,Telemetry 2,Equivalent Patient Days,9.30,"3,048",352,"3,271", 8.67 ,38.10,40.88,107%,2.78,9.31,0.00,-9.31,47.41,2.72%,"$3,633,714","$10,849","$10,332"
21,10000,1013,Cardiac Thoracic ICU,Equivalent Patient Days,15.51,"2,018",162,"2,519", 12.43 ,25.22,31.49,125%,6.26,5.69,7.93,2.24,30.91,6.79%,"$2,447,115","$17,821","$15,068"
21,10000,1014,Intensive Care Unit,Equivalent Patient Days,16.79,"3,738",215,"3,611", 17.38 ,46.72,45.13,97%,-1.59,11.10,9.86,-1.24,57.82,2.08%,"$4,409,364","$19,480","$20,505"
21,10000,1021,6C,Equivalent Patient Days,9.19,"2,577",318,"2,923", 8.10 ,32.22,36.54,113%,4.32,6.24,0.00,-6.24,38.46,5.38%,"$3,014,276","$10,284","$9,476"
21,10000,1022,5C,Equivalent Patient Days,11.09,"2,643",284,"3,155", 9.29 ,33.04,39.44,119%,6.40,3.64,6.25,2.61,36.68,0.81%,"$2,770,837","$11,542","$9,740"
21,10000,1023,3B,Equivalent Patient Days,9.19,0,0,0, 0.00 ,0.00,0.00,0%,0.00,0.19,9.06,8.87,0.19,0.00%,"$14,250",$0,$0
21,10000,1024,3C,Equivalent Patient Days,10.12,0,0,0, 0.00 ,0.00,0.00,0%,0.00,0.00,5.14,5.14,0.00,0.00%,#DIV/0!,$0,$0
21,10000,1029,6A,Equivalent Patient Days,9.56,0,0,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
21,10000,1031,Clinical Decision Unit,Equivalent Patient Days,13.33,"1,660",156,"2,075", 10.67 ,20.76,25.94,125%,5.19,5.21,2.49,-2.72,25.97,2.09%,"$1,979,901","$15,634","$12,718"
21,10000,1035,Nursing Resource Team,Total Adult Days,0.00,22,"2,661",3, 0.01 ,0.28,0.04,15%,-0.24,1.88,1.43,-0.45,2.16,0.00%,"$162,000",$9,$61
21,10000,1049,One on One Staffing,Total Adult Days,0.55,"1,141","2,661","1,470", 0.43 ,14.27,18.38,129%,4.11,1.19,0.99,-0.20,15.46,21.01%,"$1,383,994",$561,$520
21,10000,1052,Monitor Techs,Calendar Days,70.08,"1,100",16,0, 70.18 ,13.76,13.74,100%,-0.02,1.82,1.32,-0.50,15.58,12.46%,"$1,296,724","$74,393","$82,699"
21,10000,1090,4 Pavilion,Equivalent Patient Days,9.15,"3,030",312,"2,858", 9.70 ,37.87,35.72,94%,-2.15,5.89,9.45,3.56,43.76,1.82%,"$3,333,567","$9,908","$10,668"
21,10000,1091,5 Pavilion,Equivalent Patient Days,8.87,"2,806",267,"2,366", 10.53 ,35.07,29.57,84%,-5.50,9.26,8.30,-0.96,44.33,1.89%,"$3,374,380","$10,517","$12,659"
21,10000,2004,Resp. Therapy School,Calendar Days,22.92,372,16,0, 23.71 ,4.65,4.49,97%,-0.16,0.62,0.13,-0.49,5.27,0.00%,"$395,100","$24,356","$25,198"
21,10000,2005,Operating Room,OR Hours,6.35,"4,837",823,"5,230", 5.88 ,60.46,65.38,108%,4.91,16.03,8.03,-8.00,76.49,5.16%,"$5,970,994","$7,535","$7,253"
21,10000,2006,Recovery Room,PACU Hours,2.81,"2,062","1,018","2,864", 2.03 ,25.77,35.79,139%,10.02,5.57,3.00,-2.57,31.34,5.91%,"$2,464,976","$3,207","$2,421"
21,10000,2007,Thoracic and Cardio Surg,Calendar Days,7.30,45,16,0, 2.86 ,0.56,1.43,255%,0.87,0.00,0.80,0.80,0.56,0.00%,"$42,000","$6,840","$2,679"
21,10000,2009,Surgicenter,Surgicenter Hours,6.74,81,8,53, 10.32 ,1.01,0.66,65%,-0.35,0.00,0.00,0.00,1.01,8.30%,"$82,163","$6,316","$10,480"
21,10000,2011,E/R Registration,ER Visits,0.51,"1,135","1,684",867, 0.67 ,14.19,10.83,76%,-3.36,1.85,1.18,-0.67,16.04,3.32%,"$1,238,227",$545,$735
21,10000,2012,Emergency Room,ER Visits,2.66,"5,413","1,684","4,476", 3.21 ,67.66,55.95,83%,-11.71,10.17,11.15,0.98,77.83,3.76%,"$6,028,227","$2,865","$3,579"
21,10000,2021,Wound Healing Center,Visits,1.31,228,165,215, 1.39 ,2.85,2.69,94%,-0.16,0.74,0.29,-0.45,3.59,0.00%,"$269,438","$1,542","$1,637"
21,10000,2027,Cancer Registry,Calendar Days,14.66,237,16,0, 15.13 ,2.96,2.87,97%,-0.09,0.40,0.48,0.08,3.36,0.00%,"$252,338","$15,599","$16,093"
21,10000,2028,Cardiology,Test/Procedures ,0.51,741,"1,569",800, 0.47 ,9.26,10.00,108%,0.74,0.62,0.81,0.19,9.88,1.70%,"$753,144",$510,$480
21,10000,2032,Cardiac Cath Lab,Test/Procedures ,7.34,"1,878",391,"2,869", 4.81 ,23.48,35.86,153%,12.39,2.74,3.14,0.40,26.22,7.24%,"$2,093,771","$7,684","$5,357"
21,10000,2036,Ophthalmic Service,Test/Procedures ,2.85,3,0,0, 0.00 ,0.04,0.00,0%,-0.04,0.00,0.00,0.00,0.04,0.00%,"$3,150",$0,$0
21,10000,2038,Physical Medicine,Test/Procedures ,0.05,"1,467","30,526","1,456", 0.05 ,18.34,18.20,99%,-0.14,1.59,2.11,0.52,19.93,7.36%,"$1,595,704",$49,$52
21,10000,2045,Cardiac Rehabilitation,Test/Procedures ,1.72,274,139,239, 1.97 ,3.43,2.99,87%,-0.44,0.47,0.50,0.03,3.90,0.00%,"$292,238","$1,834","$2,104"
21,10000,2047,Respiratory Therapy,Weighted Procedures,0.69,"1,986","3,197","2,206", 0.62 ,24.83,27.57,111%,2.74,4.56,4.30,-0.26,29.39,0.50%,"$2,213,489",$766,$692
21,10000,2048,Pulmonary-Cardio,Test/Procedures ,1.37,230,136,186, 1.70 ,2.88,2.33,81%,-0.55,0.31,0.31,0.00,3.19,0.00%,"$239,025","$1,425","$1,764"
21,10000,2052,Neurology,Test/Procedures ,4.01,152,38,153, 3.99 ,1.90,1.91,101%,0.01,0.49,0.34,-0.15,2.39,0.00%,"$179,025","$4,730","$4,701"
21,10000,2054,Central Sterile Supply,Adult Discharges,3.13,"1,989",701,"2,195", 2.84 ,24.86,27.44,110%,2.57,3.70,2.62,-1.08,28.56,12.70%,"$2,379,056","$3,372","$3,393"
21,10000,2055,Pharmacy,Total Adult Days,1.39,"3,368","2,661","3,704", 1.27 ,42.09,46.30,110%,4.20,6.93,5.47,-1.46,49.02,5.05%,"$3,836,416","$1,520","$1,442"
21,10000,2056,IV Therapy,Total Adult Days,0.30,818,"2,661",790, 0.31 ,10.22,9.88,97%,-0.34,2.18,2.28,0.10,12.40,4.18%,"$962,010",$338,$362
21,10000,2057,General Radiology,Calendar Days,39.40,593,16,0, 37.84 ,7.42,7.72,104%,0.31,2.06,0.99,-1.07,9.48,0.07%,"$711,148","$47,195","$45,354"
21,10000,2058,Diagnostic Radiology,Test/Procedures ,0.60,"1,096","1,867","1,120", 0.59 ,13.70,14.00,102%,0.31,2.61,2.27,-0.34,16.31,0.00%,"$1,222,913",$670,$655
21,10000,2059,CAT Scan,Test/Procedures ,0.87,764,"1,001",872, 0.76 ,9.54,10.90,114%,1.36,0.84,1.94,1.10,10.38,10.01%,"$850,518",$888,$849
21,10000,2060,Ultrasound,Test/Procedures ,1.16,475,398,461, 1.20 ,5.94,5.77,97%,-0.18,0.73,1.14,0.41,6.67,3.25%,"$514,974","$1,221","$1,295"
21,10000,2061,Radiology Special,Test/Procedures ,5.34,676,109,580, 6.22 ,8.45,7.25,86%,-1.20,1.01,1.03,0.02,9.46,7.58%,"$757,484","$5,605","$6,972"
21,10000,2063,Nuclear Medicine,Test/Procedures ,2.66,140,56,149, 2.50 ,1.75,1.86,106%,0.11,0.25,0.17,-0.08,2.00,6.83%,"$158,965","$2,848","$2,839"
21,10000,2064,Radiation Therapy,Weighted Procedures,1.98,777,411,814, 1.89 ,9.72,10.18,105%,0.46,0.75,1.09,0.34,10.47,0.00%,"$784,950","$2,000","$1,910"
21,10000,2065,Oncology,Calendar Days,28.09,490,16,0, 31.25 ,6.13,5.50,90%,-0.62,0.70,0.66,-0.04,6.83,0.00%,"$511,875","$29,339","$32,645"
21,10000,2066,MRI Center,Test/Procedures ,1.34,250,185,248, 1.35 ,3.13,3.10,99%,-0.03,0.53,0.42,-0.11,3.66,3.44%,"$282,502","$1,469","$1,529"
21,10000,2078,Endoscopy,Test/Procedures ,6.07,663,111,673, 5.98 ,8.29,8.41,102%,0.13,2.72,1.95,-0.77,11.01,4.13%,"$851,294","$7,558","$7,678"
21,10000,2080,TMS Therapy,Test/Procedures ,0.00,0,10,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
21,10000,2112,OP Admin. Radiology Clerical,Total Radiology Founders,0.04,99,"1,693",76, 0.06 ,1.24,0.95,77%,-0.29,0.00,0.23,0.23,1.24,0.28%,"$92,925",$42,$55
21,10000,2113,OP Diagnostic Radiology,Test/Procedures ,0.28,133,346,96, 0.38 ,1.66,1.20,72%,-0.46,0.19,0.35,0.16,1.85,0.00%,"$138,675",$289,$401
21,10000,2114,OP Cat Scan,Test/Procedures ,0.74,178,218,163, 0.82 ,2.23,2.03,91%,-0.20,0.06,0.39,0.33,2.29,11.91%,"$191,625",$717,$877
21,10000,2115,OP Ultrasound,Test/Procedures ,0.48,181,391,187, 0.46 ,2.26,2.34,104%,0.08,0.14,0.50,0.36,2.40,1.75%,"$182,779",$477,$468
21,10000,2117,Breast Diagnostic Services,Test/Procedures ,0.78,584,738,575, 0.79 ,7.30,7.18,98%,-0.12,1.28,0.59,-0.69,8.58,2.00%,"$654,513",$858,$887
21,10000,2125,CCOP,Calendar Days,7.06,54,16,0, 3.43 ,0.67,1.38,206%,0.71,0.00,0.02,0.02,0.67,0.00%,"$50,400","$6,620","$3,214"
21,10000,2126,Employeearmacy,Calendar Days,72.96,"1,510",16,0, 96.30 ,18.88,14.30,76%,-4.58,0.67,1.30,0.63,19.55,10.89%,"$1,620,026","$70,828","$103,318"
21,10000,2136,Pre-Admission Testing,Adult Discharges,1.68,"1,045",701,"1,181", 1.49 ,13.07,14.76,113%,1.69,2.70,1.81,-0.89,15.77,0.04%,"$1,182,848","$1,905","$1,687"
21,10000,2152,Bariatric Surgery Program,Calendar Days,13.42,142,16,0, 9.05 ,1.77,2.63,148%,0.86,1.40,0.14,-1.26,3.17,0.00%,"$238,088","$22,515","$15,184"
21,10000,2155,Neuro Interventional Lab,Test/Procedures ,0.21,395,"2,352",488, 0.17 ,4.94,6.10,123%,1.16,1.38,1.15,-0.23,6.32,26.47%,"$572,251",$249,$243
21,10000,2310,Radiology OP Diagno XRay HC,Test/Procedures ,0.39,95,224,87, 0.43 ,1.19,1.08,91%,-0.11,0.00,0.00,0.00,1.19,0.00%,"$89,250",$362,$398
21,10000,2311,Radiology OP CAT Scan HC,Test/Procedures ,0.63,125,195,123, 0.64 ,1.56,1.54,99%,-0.02,0.15,0.57,0.42,1.71,0.00%,"$128,588",$651,$660
21,10000,2312,Radiology OP Ultrasound HC,Test/Procedures ,0.65,92,162,105, 0.56 ,1.14,1.31,115%,0.17,0.11,0.00,-0.11,1.25,0.00%,"$94,088",$666,$579
21,10000,2313,Mammography OP HC,Test/Procedures ,0.64,153,184,118, 0.83 ,1.91,1.48,77%,-0.44,0.56,0.71,0.15,2.47,0.00%,"$185,325",$779,"$1,009"
21,10000,2315,Cardiac Rehab OP HC,Calendar Days,6.26,186,16,0, 11.88 ,2.33,1.23,53%,-1.10,0.22,0.02,-0.20,2.55,0.00%,"$191,063","$6,425","$12,185"
21,10000,2316,Cardiology OP HC,Test/Procedures ,2.24,215,122,273, 1.76 ,2.68,3.41,127%,0.73,0.33,0.37,0.04,3.01,0.12%,"$226,321","$2,355","$1,854"
21,10000,2318,PM and R OP HC,Test/Procedures ,0.04,494,"13,104",585, 0.04 ,6.17,7.31,118%,1.14,1.28,1.10,-0.18,7.45,0.19%,"$559,920",$51,$43
21,10000,2320,Radiation Therapy OP HC,Weighted Procedures,1.95,489,314,613, 1.56 ,6.11,7.67,125%,1.56,1.40,0.64,-0.76,7.51,0.00%,"$563,325","$2,250","$1,793"
21,10000,2321,Sleep Study OP HC,Test/Procedures ,10.50,282,29,306, 9.68 ,3.52,3.82,108%,0.30,0.11,0.29,0.18,3.63,0.00%,"$272,588","$10,151","$9,361"
21,10000,2322,Diabetes Management HC,Test/Procedures ,1.22,182,169,207, 1.08 ,2.28,2.58,113%,0.30,0.11,0.08,-0.03,2.39,0.15%,"$179,388","$1,200","$1,061"
21,10000,4000,Nursing Administration,Calendar Days,86.69,"1,542",16,0, 98.36 ,19.28,16.99,88%,-2.29,2.31,2.26,-0.05,21.59,2.16%,"$1,650,272","$91,008","$105,247"
21,10000,4002,Staff Development,Calendar Days,45.39,726,16,0, 46.29 ,9.07,8.90,98%,-0.18,1.23,2.14,0.91,10.30,0.00%,"$772,650","$48,321","$49,276"
21,10000,4003,Central Transport,Discharges/100,135.38,"1,207",7,949, 172.19 ,15.09,11.86,79%,-3.23,2.02,1.05,-0.97,17.11,11.05%,"$1,408,180","$143,910","$200,882"
21,10000,4004,Nurse Residents,Calendar Days,1.61,36,16,0, 2.29 ,0.45,0.32,70%,-0.13,0.62,0.74,0.12,1.07,0.00%,"$80,100","$3,597","$5,108"
21,10000,4005,Staffing Office,Calendar Days,15.95,288,16,0, 18.38 ,3.60,3.13,87%,-0.48,0.16,0.36,0.20,3.76,10.43%,"$310,281","$15,614","$19,788"
21,10000,4013,Division of Surgery,Calendar Days,2.85,0,16,0, 0.00 ,0.00,0.56,0%,0.56,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
21,10000,4019,Case Mangement,Calendar Days,109.69,"1,850",16,0, 117.96 ,23.12,21.50,93%,-1.62,3.58,1.39,-2.19,26.70,0.69%,"$2,014,624","$118,753","$128,484"
21,10000,4020,Pediatrics / Neonatology Off,Calendar Days,8.83,115,16,0, 7.36 ,1.44,1.73,120%,0.29,0.45,0.10,-0.35,1.89,1.67%,"$143,703","$10,864","$9,165"
21,10000,4022,Admissions,Calendar Days,23.27,264,16,0, 16.84 ,3.30,4.56,138%,1.26,1.24,0.54,-0.70,4.54,0.15%,"$340,920","$30,006","$21,742"
21,10000,4023,Quality Outcomes,Calendar Days,21.77,251,16,0, 16.00 ,3.14,4.27,136%,1.13,0.34,0.23,-0.11,3.48,0.00%,"$260,700","$22,621","$16,626"
21,10000,4028,Continuing Medical Education,Calendar Days,4.06,72,16,0, 4.57 ,0.90,0.80,89%,-0.10,0.00,0.02,0.02,0.90,0.00%,"$67,200","$3,811","$4,286"
21,10000,4030,Food Service,Total Adjusted Adult Days,1.19,"4,705","4,029","4,795", 1.17 ,58.81,59.93,102%,1.12,7.27,6.69,-0.58,66.08,3.62%,"$5,115,612","$1,254","$1,270"
21,10000,4033,Housekeeping,1000 Net Square Feet Cleaned,236.88,"5,083",22,"5,245", 229.56 ,63.53,65.56,103%,2.02,7.56,7.32,-0.24,71.09,10.52%,"$5,832,984","$248,501","$263,459"
21,10000,4034,Laundry,100 Adjusted Discharges,22.96,134,11,261, 11.84 ,1.68,3.26,194%,1.58,0.00,0.88,0.88,1.68,6.67%,"$134,400","$21,525","$11,841"
21,10000,4046,Security,1000 Sq Ft Patrolled,35.19,"1,576",59,"2,078", 26.69 ,19.70,25.97,132%,6.27,4.61,2.31,-2.30,24.31,7.13%,"$1,928,382","$40,712","$32,662"
21,10000,4067,Business Office,Calendar Days,19.28,283,16,0, 18.05 ,3.54,3.78,107%,0.24,0.50,0.98,0.48,4.04,8.57%,"$325,635","$20,627","$20,768"
21,10000,4068,OP Registration and Admin.,Calendar Days,84.08,"1,627",16,0, 103.75 ,20.34,16.48,81%,-3.85,3.05,1.27,-1.78,23.39,3.68%,"$1,810,031","$90,650","$115,436"
21,10000,4073,Cashiering,Calendar Days,9.26,134,16,0, 8.57 ,1.68,1.81,108%,0.13,0.11,0.12,0.01,1.79,0.00%,"$134,250","$9,246","$8,562"
21,10000,4098,Executive Office,Calendar Days,14.87,233,16,0, 14.86 ,2.91,2.91,100%,0.00,0.22,0.19,-0.03,3.13,0.00%,"$234,900","$14,995","$14,981"
21,10000,4099,Administration,Calendar Days,13.09,189,16,0, 12.04 ,2.36,2.57,109%,0.21,0.55,0.23,-0.32,2.91,0.00%,"$218,175","$15,134","$13,914"
21,10000,4103,Quality Management,Calendar Days,13.12,123,16,0, 7.86 ,1.54,2.57,167%,1.03,0.42,0.44,0.02,1.96,0.00%,"$147,000","$15,649","$9,375"
21,10000,4108,Marketing,Calendar Days,0.00,0,16,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
21,10000,4109,Development,Calendar Days,14.68,296,16,0, 18.86 ,3.70,2.88,78%,-0.82,0.00,0.05,0.05,3.70,0.00%,"$277,200","$13,764","$17,679"
21,10000,4110,Human Resources,Calendar Days,29.10,482,16,0, 30.73 ,6.02,5.70,95%,-0.32,1.38,1.33,-0.05,7.40,0.14%,"$555,903","$33,536","$35,453"
21,10000,4122,Supply Chain Management,Calendar Days,79.74,"1,374",16,0, 87.63 ,17.17,15.63,91%,-1.55,1.06,1.36,0.30,18.23,2.19%,"$1,395,767","$79,371","$89,016"
21,10000,4127,Volunteers,Calendar Days,4.40,82,16,0, 5.23 ,1.03,0.86,84%,-0.16,0.00,0.14,0.14,1.03,0.68%,"$77,438","$4,122","$4,939"
21,10000,4131,Risk Management,Calendar Days,4.88,0,16,0, 0.00 ,0.00,0.96,0%,0.96,1.12,0.16,-0.96,1.12,0.00%,"$84,000",$0,"$5,357"
21,10000,4134,Medical Library,Calendar Days,6.40,108,16,0, 6.86 ,1.34,1.25,93%,-0.09,0.00,0.30,0.30,1.34,0.00%,"$100,800","$5,998","$6,429"
21,10000,4135,Chaplaincy,Calendar Days,4.94,63,16,0, 4.00 ,0.78,0.97,124%,0.18,0.34,0.11,-0.23,1.12,0.00%,"$84,300","$6,642","$5,376"
21,10000,4137,Community Services,Calendar Days,38.74,474,16,0, 30.21 ,5.92,7.59,128%,1.67,0.76,0.19,-0.57,6.68,0.00%,"$501,084","$40,984","$31,957"
21,10000,4139,Former Employees,Calendar Days,0.00,0,16,0, 0.00 ,0.00,0.00,0%,0.00,1.12,0.00,-1.12,1.12,0.00%,"$84,000",$0,"$5,357"
21,10000,4155,Service Center,Calendar Days,15.33,231,16,0, 14.71 ,2.88,3.00,104%,0.12,0.11,0.14,0.03,2.99,0.23%,"$225,055","$14,921","$14,353"
21,10000,4159,Transfer Center,Calendar Days,0.56,167,16,0, 10.63 ,2.08,0.11,5%,-1.97,0.11,0.00,-0.11,2.19,0.00%,"$164,438",$555,"$10,487"
21,10000,4167,Hospitality,Calendar Days,24.82,502,16,0, 32.02 ,6.28,4.87,78%,-1.41,0.00,0.15,0.15,6.28,0.67%,"$473,813","$23,270","$30,218"
21,10000,4205,OR Scheduling,Calendar Days,19.76,81,16,0, 5.14 ,1.01,3.87,384%,2.86,0.11,0.56,0.45,1.12,0.00%,"$83,850","$20,542","$5,348"
21,10000,4209,Development Capital Campaign,Calendar Days,10.46,134,16,0, 8.57 ,1.68,2.05,122%,0.37,0.00,0.74,0.74,1.68,0.00%,"$126,000","$9,803","$8,036"
21,10000,4250,JLL Maintenance,1000 Net Square Feet Maintained,71.33,"1,960",30,"2,149", 65.06 ,24.50,26.86,110%,2.36,3.44,2.96,-0.48,27.94,0.73%,"$2,109,111","$76,260","$70,000"
21,10000,4301,Administration HC,Calendar Days,0.96,18,16,0, 1.14 ,0.22,0.19,84%,-0.04,0.00,0.00,0.00,0.22,0.00%,"$16,800",$902,"$1,071"
21,10000,4303,Medical Office Bldg HC,Calendar Days,6.76,42,16,0, 2.70 ,0.53,1.33,251%,0.80,0.14,0.00,-0.14,0.67,0.00%,"$50,138","$8,018","$3,198"
21,10000,4304,Registration HC,Calendar Days,14.90,463,16,0, 29.54 ,5.79,2.92,50%,-2.87,0.03,0.23,0.20,5.82,0.42%,"$438,253","$14,045","$27,950"
21,10000,4401,Interns and Residents,Calendar Days,5.75,81,16,0, 5.14 ,1.01,1.13,112%,0.12,0.00,0.09,0.09,1.01,0.00%,"$75,600","$5,391","$4,821"
21,10000,4413,Family Medicine Residents,Calendar Days,78.42,"1,328",16,0, 84.68 ,16.60,15.37,93%,-1.23,0.20,0.21,0.01,16.80,0.00%,"$1,259,775","$74,409","$80,343"
21,10000,4415,Radiology Residents,Calendar Days,96.33,"1,244",16,0, 79.36 ,15.55,18.88,121%,3.33,0.13,0.00,-0.13,15.68,0.00%,"$1,176,300","$91,068","$75,019"
21,10000,4416,Podiatry Residents,Calendar Days,55.84,862,16,0, 54.95 ,10.77,10.95,102%,0.18,0.00,0.00,0.00,10.77,0.00%,"$807,713","$52,354","$51,512"
21,10000,4417,Breast Surgery Fellows,Calendar Days,11.43,198,16,0, 12.61 ,2.47,2.24,91%,-0.23,0.00,0.00,0.00,2.47,0.00%,"$185,325","$10,714","$11,819"
21,11000,1001,Mother / Baby Unit,Equivalent Patient Days,17.58,"3,268",204,"3,583", 16.03 ,40.85,44.79,110%,3.94,7.05,9.03,1.98,47.90,1.89%,"$3,650,126","$19,322","$17,907"
21,11000,1003,Delivery Rooms,Delivery,25.28,"3,634",152,"3,850", 23.86 ,45.42,48.13,106%,2.71,7.36,6.98,-0.38,52.78,3.40%,"$4,074,561","$27,539","$26,750"
21,11000,1004,Antenatal Unit,Equivalent Patient Days,16.32,501,74,"1,206", 6.78 ,6.26,15.08,241%,8.81,0.62,2.15,1.53,6.88,9.36%,"$560,247","$16,811","$7,579"
21,11000,1005,Perinatal Testing Center,Test/Procedures ,0.83,697,735,608, 0.95 ,8.72,7.60,87%,-1.12,1.83,1.56,-0.27,10.55,0.10%,"$791,788",$939,"$1,078"
21,11000,1007,Intensive Care Nursery,Equivalent Patient Days,11.76,"3,296",308,"3,621", 10.70 ,41.20,45.26,110%,4.07,5.71,9.90,4.19,46.91,4.31%,"$3,651,177","$12,550","$11,854"
21,11000,1008,2 Pavilion Stepdown,Equivalent Patient Days,11.83,"2,216",199,"2,358", 11.11 ,27.70,29.47,106%,1.78,5.33,5.68,0.35,33.03,4.61%,"$2,572,680","$13,222","$12,905"
21,11000,1010,3 South,Equivalent Patient Days,9.33,"3,382",386,"3,607", 8.75 ,42.28,45.08,107%,2.81,6.19,7.72,1.53,48.47,4.53%,"$3,778,558","$10,032","$9,779"
21,11000,1016,1 South,Equivalent Patient Days,9.25,"3,171",358,"3,313", 8.85 ,39.64,41.42,104%,1.78,9.29,9.36,0.07,48.93,6.42%,"$3,860,520","$10,699","$10,772"
21,11000,1017,2 Rosengarten,Equivalent Patient Days,10.37,"1,993",206,"2,137", 9.67 ,24.91,26.71,107%,1.80,4.55,5.77,1.22,29.46,2.20%,"$2,250,520","$11,498","$10,921"
21,11000,1018,2 South,Equivalent Patient Days,11.73,"2,840",251,"2,942", 11.32 ,35.50,36.78,104%,1.28,5.58,8.06,2.48,41.08,4.35%,"$3,196,731","$12,723","$12,742"
21,11000,1019,2 Southwest,Equivalent Patient Days,8.76,"2,840",348,"3,053", 8.15 ,35.51,38.16,107%,2.65,7.20,7.30,0.10,42.71,7.91%,"$3,413,585","$9,883","$9,800"
21,11000,1020,3 Southwest,Equivalent Patient Days,9.46,"3,505",396,"3,752", 8.84 ,43.81,46.89,107%,3.09,6.03,11.31,5.28,49.84,4.97%,"$3,901,340","$10,092","$9,840"
21,11000,1026,3 East,Equivalent Patient Days,11.85,"1,353",111,"1,314", 12.20 ,16.92,16.43,97%,-0.49,0.85,0.05,-0.80,17.77,6.40%,"$1,413,661","$11,671","$12,749"
21,11000,1030,4 SW,Equivalent Patient Days,43.24,850,40,"1,743", 21.08 ,10.62,21.79,205%,11.17,0.36,1.36,1.00,10.98,13.22%,"$929,016","$41,909","$23,041"
21,11000,1035,Nursing Resource Team,Total Adult Days,0.00,22,"4,001",0, 0.01 ,0.28,0.00,0%,-0.28,1.51,0.00,-1.51,1.79,0.00%,"$134,250",$0,$34
21,11000,1037,NPPA,Total Adult Days,0.20,345,"4,001",788, 0.09 ,4.31,9.85,229%,5.54,1.12,1.47,0.35,5.43,0.00%,"$407,400",$233,$102
21,11000,1044,1 SW,Equivalent Patient Days,9.57,"2,640",288,"2,754", 9.17 ,33.00,34.42,104%,1.42,5.85,6.78,0.93,38.85,3.63%,"$3,003,730","$10,558","$10,435"
21,11000,1049,One on One Staffing,Total Adult Days,0.09,594,"4,001",360, 0.15 ,7.43,4.50,61%,-2.93,0.00,0.00,0.00,7.43,60.70%,"$895,125",$84,$224
21,11000,1051,IV Team,Total Adult Days,0.22,838,"4,001",873, 0.21 ,10.47,10.91,104%,0.44,1.72,1.21,-0.51,12.19,2.61%,"$934,926",$238,$234
21,11000,1052,Monitor Techs,Calendar Days,69.62,"1,110",16,0, 70.80 ,13.88,13.64,98%,-0.23,1.54,1.12,-0.42,15.42,12.94%,"$1,291,012","$72,507","$82,335"
21,11000,1053,6 West,Test/Procedures ,4.38,536,181,795, 2.95 ,6.70,9.94,148%,3.24,0.90,1.42,0.52,7.60,0.60%,"$572,672","$4,660","$3,156"
21,11000,1080,CICU,Equivalent Patient Days,17.52,"6,562",409,"7,161", 16.05 ,82.02,89.51,109%,7.49,19.31,24.80,5.49,101.33,0.96%,"$7,658,957","$20,288","$18,735"
21,11000,1081,1 Pavilion,Equivalent Patient Days,11.16,"4,014",412,"4,600", 9.74 ,50.18,57.50,115%,7.33,6.17,8.29,2.12,56.35,2.01%,"$4,301,681","$11,750","$10,437"
21,11000,1082,2 Pavilion,Equivalent Patient Days,19.66,"3,816",203,"3,986", 18.82 ,47.69,49.82,104%,2.12,12.49,12.24,-0.25,60.18,3.54%,"$4,640,521","$23,258","$22,891"
21,11000,1083,SICU,Equivalent Patient Days,21.15,390,13,284, 29.02 ,4.88,3.55,73%,-1.32,0.00,0.48,0.48,4.88,9.83%,"$401,625","$19,831","$29,883"
21,11000,2001,Clinic Medicine,Visits,9.23,746,57,527, 13.07 ,9.33,6.59,71%,-2.74,0.69,1.62,0.93,10.02,1.29%,"$760,615","$9,296","$13,316"
21,11000,2005,Operating Room,OR Hours,6.56,"6,516",853,"5,599", 7.64 ,81.46,69.99,86%,-11.47,21.39,22.41,1.02,102.85,12.94%,"$8,503,695","$7,766","$9,965"
